speaker_iso,target_iso,year,count
PHL,ZAF,1947,2
RUS,BGR,1947,2
RUS,CHN,1947,2
RUS,FRA,1947,2
RUS,ZAF,1947,2
SAU,ARE,1947,2
SAU,USA,1947,2
SYR,URS,1947,2
TUR,URS,1947,2
UKR,BLR,1947,2
UKR,IDN,1947,2
UKR,ITA,1947,2
UKR,TUR,1947,2
USA,ALB,1947,2
USA,BGR,1947,2
USA,DEU,1947,2
USA,PSE,1947,2
USA,YUG,1947,2
VEN,PSE,1947,2
YUG,FRA,1947,2
YUG,UKR,1947,2
ZAF,BLR,1947,2
ZAF,USA,1947,2
ARG,AUS,1947,1
ARG,AUT,1947,1
ARG,CHN,1947,1
ARG,DEU,1947,1
ARG,EGY,1947,1
ARG,FRA,1947,1
ARG,GBR,1947,1
ARG,IRL,1947,1
ARG,IRN,1947,1
ARG,ITA,1947,1
ARG,JOR,1947,1
ARG,NZL,1947,1
ARG,PRT,1947,1
ARG,SDN,1947,1
ARG,TUR,1947,1
ARG,ZAF,1947,1
AUS,AUT,1947,1
AUS,GNQ,1947,1
AUS,GRC,1947,1
AUS,MEX,1947,1
BLR,AUT,1947,1
BLR,CHN,1947,1
BLR,ITA,1947,1
BLR,RUS,1947,1
BLR,TUR,1947,1
BRA,USA,1947,1
CHL,CHN,1947,1
CHL,RUS,1947,1
CHL,ZAF,1947,1
CHN,PSE,1947,1
COL,AUS,1947,1
COL,BEL,1947,1
COL,CHN,1947,1
COL,COG,1947,1
COL,DDR,1947,1
COL,ESP,1947,1
COL,IDN,1947,1
CSK,BLR,1947,1
CSK,CHN,1947,1
CSK,DDR,1947,1
CSK,MOZ,1947,1
CSK,POL,1947,1
CSK,PSE,1947,1
CSK,SVK,1947,1
CSK,YUG,1947,1
CUB,AUS,1947,1
CUB,ITA,1947,1
CUB,USA,1947,1
DOM,ARE,1947,1
DOM,ITA,1947,1
ECU,AUS,1947,1
ECU,CHL,1947,1
EGY,PSE,1947,1
EGY,SDN,1947,1
EGY,YEM,1947,1
FRA,ARG,1947,1
FRA,ITA,1947,1
FRA,RUS,1947,1
GBR,AUS,1947,1
GBR,BLR,1947,1
GBR,HUN,1947,1
GBR,IND,1947,1
GBR,ITA,1947,1
GBR,LUX,1947,1
GBR,NZL,1947,1
GBR,RUS,1947,1
GBR,SDN,1947,1
GBR,SLV,1947,1
GBR,TUR,1947,1
GBR,YUG,1947,1
GRC,CHN,1947,1
GRC,GBR,1947,1
GRC,USA,1947,1
IND,DEU,1947,1
IND,GBR,1947,1
IRQ,ARE,1947,1
IRQ,USA,1947,1
LBN,CHN,1947,1
LBN,CUB,1947,1
MEX,BRA,1947,1
NLD,AUS,1947,1
NLD,URS,1947,1
PER,DDR,1947,1
PHL,GBR,1947,1
PHL,IDN,1947,1
PHL,LKA,1947,1
PHL,MMR,1947,1
PHL,NZL,1947,1
PHL,PAK,1947,1
PHL,PSE,1947,1
POL,EGY,1947,1
POL,ESP,1947,1
POL,NLD,1947,1
POL,SDN,1947,1
POL,USA,1947,1
RUS,ALB,1947,1
RUS,ARG,1947,1
RUS,EGY,1947,1
RUS,IND,1947,1
RUS,JOR,1947,1
RUS,NLD,1947,1
RUS,OMN,1947,1
RUS,PRK,1947,1
RUS,YUG,1947,1
