speaker_iso,target_iso,year,session,count
ZAF,GBR,1947,02,1
AUS,CHN,1948,03,1
AUS,FIN,1948,03,1
AUS,IRL,1948,03,1
AUS,ITA,1948,03,1
AUS,PRT,1948,03,1
AUS,JOR,1948,03,1
AUS,LKA,1948,03,1
AUS,URS,1948,03,2
AUS,LBN,1948,03,1
AUS,USA,1948,03,1
AUS,DEU,1948,03,3
AUS,AUT,1948,03,1
AUS,JPN,1948,03,2
AUS,PRK,1948,03,2
AUS,IND,1948,03,1
AUS,NZL,1948,03,1
AUS,PAK,1948,03,1
AUS,ZAF,1948,03,2
AUS,DDR,1948,03,1
BEL,URS,1948,03,39
BEL,USA,1948,03,6
BEL,GBR,1948,03,2
BEL,FRA,1948,03,2
BEL,LUX,1948,03,2
BEL,NLD,1948,03,3
BEL,POL,1948,03,2
BEL,CSK,1948,03,1
BEL,YUG,1948,03,1
BEL,FIN,1948,03,1
BEL,ZAF,1948,03,1
BLR,CSK,1948,03,1
BLR,PSE,1948,03,1
BLR,USA,1948,03,15
BLR,URS,1948,03,21
BLR,ARG,1948,03,2
BLR,NZL,1948,03,1
BLR,GBR,1948,03,5
BLR,URY,1948,03,1
BLR,FRA,1948,03,2
BLR,LBN,1948,03,1
BLR,DEU,1948,03,1
BLR,JPN,1948,03,1
BOL,FRA,1948,03,2
BOL,PSE,1948,03,3
BOL,DEU,1948,03,1
BOL,LUX,1948,03,2
BOL,ITA,1948,03,5
BOL,ESP,1948,03,8
BOL,ARG,1948,03,1
BRA,CHN,1948,03,1
BRA,FRA,1948,03,2
BRA,DEU,1948,03,3
BRA,USA,1948,03,1
CAN,FRA,1948,03,8
CAN,URS,1948,03,2
CAN,POL,1948,03,1
CAN,CSK,1948,03,1
CAN,YUG,1948,03,1
CAN,USA,1948,03,3
CHL,CHN,1948,03,3
CHL,FRA,1948,03,6
CHL,CSK,1948,03,3
CHL,PSE,1948,03,1
CHL,IND,1948,03,1
CHL,PAK,1948,03,1
CHL,PRK,1948,03,1
CHL,IDN,1948,03,1
CHL,USA,1948,03,1
CHN,FRA,1948,03,3
CHN,PRK,1948,03,10
CHN,IDN,1948,03,7
CHN,NLD,1948,03,4
CHN,IND,1948,03,3
CHN,PAK,1948,03,2
CHN,URS,1948,03,1
CHN,JPN,1948,03,1
CHN,USA,1948,03,4
CHN,PHL,1948,03,1
COL,LTU,1948,03,1
COL,USA,1948,03,2
COL,PRK,1948,03,1
COL,URS,1948,03,1
COL,ESP,1948,03,2
COL,FRA,1948,03,1
CSK,DDR,1948,03,4
CSK,GRC,1948,03,1
CSK,GBR,1948,03,1
CSK,USA,1948,03,6
CSK,CHN,1948,03,1
CSK,URS,1948,03,5
DNK,USA,1948,03,2
DNK,DEU,1948,03,25
DNK,LBN,1948,03,1
DOM,FRA,1948,03,3
DOM,USA,1948,03,2
DOM,ESP,1948,03,2
DOM,GRC,1948,03,1
DOM,CHL,1948,03,1
DOM,URS,1948,03,1
DOM,IND,1948,03,1
DOM,ZAF,1948,03,1
ECU,LBN,1948,03,1
ECU,DOM,1948,03,1
ECU,BEL,1948,03,1
ECU,GBR,1948,03,1
ECU,CHN,1948,03,2
ECU,USA,1948,03,1
ECU,CAN,1948,03,1
EGY,USA,1948,03,1
EGY,PSE,1948,03,3
EGY,DDR,1948,03,1
FRA,ITA,1948,03,3
FRA,USA,1948,03,3
FRA,URS,1948,03,4
FRA,GRC,1948,03,2
FRA,PSE,1948,03,1
FRA,ETH,1948,03,1
FRA,DEU,1948,03,11
FRA,POL,1948,03,1
FRA,BEL,1948,03,2
FRA,NLD,1948,03,1
FRA,LUX,1948,03,1
FRA,DDR,1948,03,1
FRA,GBR,1948,03,2
FRA,COG,1948,03,1
GBR,FRA,1948,03,2
GBR,PSE,1948,03,7
GBR,DEU,1948,03,10
GBR,USA,1948,03,8
GBR,POL,1948,03,2
GBR,AUS,1948,03,1
GBR,URS,1948,03,21
GBR,LKA,1948,03,4
GBR,IRL,1948,03,1
GBR,JOR,1948,03,1
GBR,ITA,1948,03,1
GBR,TUR,1948,03,1
GBR,GRC,1948,03,12
GBR,DDR,1948,03,1
GRC,USA,1948,03,2
GRC,CHN,1948,03,1
GRC,ITA,1948,03,1
GRC,YUG,1948,03,8
GRC,BGR,1948,03,7
GRC,ALB,1948,03,7
GRC,GBR,1948,03,1
GRC,POL,1948,03,1
GRC,DJI,1948,03,1
GRC,PSE,1948,03,1
IND,FRA,1948,03,6
IND,DEU,1948,03,1
IND,PHL,1948,03,1
IND,IDN,1948,03,3
IND,CHN,1948,03,2
IND,CSK,1948,03,1
IND,MMR,1948,03,4
IND,PAK,1948,03,2
IND,PSE,1948,03,1
IND,USA,1948,03,6
